Sentence,Aspect,Polarity
the food was served promptly but the meal was n't rushed - we had plenty of time to enjoy the appetizers and our entrees as well as sit and chat while finishing up our drinks even after we paid .,food,neutral
the food was served promptly but the meal was n't rushed - we had plenty of time to enjoy the appetizers and our entrees as well as sit and chat while finishing up our drinks even after we paid .,served,positive
the food was served promptly but the meal was n't rushed - we had plenty of time to enjoy the appetizers and our entrees as well as sit and chat while finishing up our drinks even after we paid .,appetizers,positive
"when i got home , there was a message on the machine because the owner realized that our waitress forgot to charge us for our wine .",owner,neutral
"when i got home , there was a message on the machine because the owner realized that our waitress forgot to charge us for our wine .",waitress,negative
"when i got home , there was a message on the machine because the owner realized that our waitress forgot to charge us for our wine .",wine,neutral
"the scene shun lee palace is popular with midtown locals , possibly because the upscale room means you can impress a client and have chinese for lunch at the same time .",scene,positive
"the scene shun lee palace is popular with midtown locals , possibly because the upscale room means you can impress a client and have chinese for lunch at the same time .",lunch,neutral
"to both our surprise , this inquiry was interpreted as a personal offense by the waiter who told my wife to leave the store if she did nt want the pastries .",waiter,negative
"to both our surprise , this inquiry was interpreted as a personal offense by the waiter who told my wife to leave the store if she did nt want the pastries .",pastries,neutral
in fact you can find their menu offerings at other places for better qualities and lower prices .,menu,neutral
in fact you can find their menu offerings at other places for better qualities and lower prices .,prices,positive
been here a few times and food has always been good but service really suffers when it gets crowded .,food,positive
been here a few times and food has always been good but service really suffers when it gets crowded .,service,negative
it 's sad that everything about this place was great ( even the service and decor ) except for the steak .,service,positive
it 's sad that everything about this place was great ( even the service and decor ) except for the steak .,decor,positive
it 's sad that everything about this place was great ( even the service and decor ) except for the steak .,steak,negative
to be honest we only had drinks and appetizers downstairs as we were there for a collegues leaving drinks but the staff was very friendly ( typical aussies ) and the food i did have was pretty darn good .,appetizers,neutral
to be honest we only had drinks and appetizers downstairs as we were there for a collegues leaving drinks but the staff was very friendly ( typical aussies ) and the food i did have was pretty darn good .,staff,positive
to be honest we only had drinks and appetizers downstairs as we were there for a collegues leaving drinks but the staff was very friendly ( typical aussies ) and the food i did have was pretty darn good .,food,positive
"the brasserie - style menu remains relatively unchanged , featuring classic bistro choices like frisee salad with bacon , blue cheese and a poached egg , steak tartare , moules and steak frites , and various burgers and sandwiches .","brasserie, -, style, menu",neutral
"the brasserie - style menu remains relatively unchanged , featuring classic bistro choices like frisee salad with bacon , blue cheese and a poached egg , steak tartare , moules and steak frites , and various burgers and sandwiches .","bistro, choices",positive
"the brasserie - style menu remains relatively unchanged , featuring classic bistro choices like frisee salad with bacon , blue cheese and a poached egg , steak tartare , moules and steak frites , and various burgers and sandwiches .","frisee, salad, with, bacon, ,, blue, cheese",neutral
"the brasserie - style menu remains relatively unchanged , featuring classic bistro choices like frisee salad with bacon , blue cheese and a poached egg , steak tartare , moules and steak frites , and various burgers and sandwiches .","a, poached, egg",neutral
"the brasserie - style menu remains relatively unchanged , featuring classic bistro choices like frisee salad with bacon , blue cheese and a poached egg , steak tartare , moules and steak frites , and various burgers and sandwiches .","steak, tartare",neutral
"the brasserie - style menu remains relatively unchanged , featuring classic bistro choices like frisee salad with bacon , blue cheese and a poached egg , steak tartare , moules and steak frites , and various burgers and sandwiches .",moules,neutral
"the brasserie - style menu remains relatively unchanged , featuring classic bistro choices like frisee salad with bacon , blue cheese and a poached egg , steak tartare , moules and steak frites , and various burgers and sandwiches .","steak, frites",neutral
"the brasserie - style menu remains relatively unchanged , featuring classic bistro choices like frisee salad with bacon , blue cheese and a poached egg , steak tartare , moules and steak frites , and various burgers and sandwiches .",burgers,positive
"we all liked the brunch items we had but when we later asked if the chips were supposed to come with the meal , the waitress explained it away by saying sometimes they forget instead of apologizing and offering something extra .",brunch,positive
"we all liked the brunch items we had but when we later asked if the chips were supposed to come with the meal , the waitress explained it away by saying sometimes they forget instead of apologizing and offering something extra .",chips,neutral
"we all liked the brunch items we had but when we later asked if the chips were supposed to come with the meal , the waitress explained it away by saying sometimes they forget instead of apologizing and offering something extra .",waitress,negative
"appetizers are the safest bet , including a bountiful calamari plate or the appropriately earthy mushroom polenta .",appetizers,positive
"appetizers are the safest bet , including a bountiful calamari plate or the appropriately earthy mushroom polenta .","bountiful, calamari, plate",neutral
"appetizers are the safest bet , including a bountiful calamari plate or the appropriately earthy mushroom polenta .","appropriately, earthy, mushroom, polenta",neutral
i ve had better burgers and fries at the local dinner in my neighborhood : 3 guys dinner on 96th and madison avenue .,burgers,positive
i ve had better burgers and fries at the local dinner in my neighborhood : 3 guys dinner on 96th and madison avenue .,fries,positive
i ve had better burgers and fries at the local dinner in my neighborhood : 3 guys dinner on 96th and madison avenue .,"local, dinner",neutral
the scene hunky waiters dub diners darling and it sounds like they mean it .,scene,neutral
the scene hunky waiters dub diners darling and it sounds like they mean it .,waiters,negative
the scene hunky waiters dub diners darling and it sounds like they mean it .,diners,neutral
the scene hunky waiters dub diners darling and it sounds like they mean it .,darling,neutral
"instead , 4 members of the wait staff were giggling and carrying on at the corner of the bar .","wait, staff",negative
"instead , 4 members of the wait staff were giggling and carrying on at the corner of the bar .",bar,neutral
"we had to wait 20 minutes before getting a beer , and we never got our burger order .",beer,neutral
"we had to wait 20 minutes before getting a beer , and we never got our burger order .",order,negative
"the waitress forgot our coffee , took forever to take our order , never checked in with us after the food came and when we were done , did n't bring us the check for the longest time .",waitress,negative
"the waitress forgot our coffee , took forever to take our order , never checked in with us after the food came and when we were done , did n't bring us the check for the longest time .",coffee,neutral
"the waitress forgot our coffee , took forever to take our order , never checked in with us after the food came and when we were done , did n't bring us the check for the longest time .",food,neutral
"we had no problems with our resevations and found the service and the meal well worth a wait , had we run into one .",service,neutral
"we had no problems with our resevations and found the service and the meal well worth a wait , had we run into one .",meal,neutral
"we had no problems with our resevations and found the service and the meal well worth a wait , had we run into one .",wait,positive
one of our diners did n't like her fish and both the waitress and the manager insisted on replacing it .,fish,negative
