Sentence,Aspect,Polarity
the decor is not special at all but their food and amazing prices make up for it .,decor,negative
the decor is not special at all but their food and amazing prices make up for it .,food,positive
the decor is not special at all but their food and amazing prices make up for it .,prices,positive
"when tables opened up , the manager sat another party before us .",tables,neutral
"when tables opened up , the manager sat another party before us .",manager,negative
"though the menu includes some unorthodox offerings ( a peanut butter roll , for instance ) , the classics are pure and great -- we 've never had better sushi anywhere , including japan .",menu,neutral
"though the menu includes some unorthodox offerings ( a peanut butter roll , for instance ) , the classics are pure and great -- we 've never had better sushi anywhere , including japan .","peanut, butter, roll",negative
"though the menu includes some unorthodox offerings ( a peanut butter roll , for instance ) , the classics are pure and great -- we 've never had better sushi anywhere , including japan .",classics,positive
"though the menu includes some unorthodox offerings ( a peanut butter roll , for instance ) , the classics are pure and great -- we 've never had better sushi anywhere , including japan .",sushi,positive
"service is good although a bit in your face , we were asked every five mins if food was ok , but better that than being ignored .",service,positive
"service is good although a bit in your face , we were asked every five mins if food was ok , but better that than being ignored .",food,neutral
ps- i just went for brunch on saturday and the eggs served with onions and rosemary were amazing .,brunch,neutral
ps- i just went for brunch on saturday and the eggs served with onions and rosemary were amazing .,"eggs, served, with, onions",positive
they did n't have to change anything about the menu except add a leg of chicken seperatley and the guy mumbled very rudely that i had already ordered and i should ' ve decided earlier .,menu,neutral
they did n't have to change anything about the menu except add a leg of chicken seperatley and the guy mumbled very rudely that i had already ordered and i should ' ve decided earlier .,guy,negative
"the server came to us and was sooo hot , he went over the menu and specials with us .",server,positive
"the server came to us and was sooo hot , he went over the menu and specials with us .",menu,neutral
the food the best surprises on the el salvadorean menu are the appetizers .,food,neutral
the food the best surprises on the el salvadorean menu are the appetizers .,appetizers,positive
"12/24/03 dinner was ok , service was so- so , the worst part was the hostess - we made reservations a month before christmas eve for three people , you would think the table would be large enough for all three of us .",dinner,positive
"12/24/03 dinner was ok , service was so- so , the worst part was the hostess - we made reservations a month before christmas eve for three people , you would think the table would be large enough for all three of us .",service,neutral
"12/24/03 dinner was ok , service was so- so , the worst part was the hostess - we made reservations a month before christmas eve for three people , you would think the table would be large enough for all three of us .",hostess,negative
"still , after all the fuss , the food makes you forget about the wait .",food,positive
"still , after all the fuss , the food makes you forget about the wait .",wait,neutral
i had to physically get out of my seat and find the waitress twice just to ask for more water .,seat,neutral
i had to physically get out of my seat and find the waitress twice just to ask for more water .,waitress,negative
i had to physically get out of my seat and find the waitress twice just to ask for more water .,water,neutral
"when we finally got to order , we were told the bartender was n't there , so we could n't order any drinks .",bartender,negative
"when we finally got to order , we were told the bartender was n't there , so we could n't order any drinks .",drinks,neutral
"three course meal for lunch was $ 13 , the prices for dinner were just as great !","course, meal",neutral
"three course meal for lunch was $ 13 , the prices for dinner were just as great !",lunch,neutral
"three course meal for lunch was $ 13 , the prices for dinner were just as great !",prices,positive
"three course meal for lunch was $ 13 , the prices for dinner were just as great !",dinner,neutral
"but such remark depicts the worldly somelier / owner / janitor of lpf , who is a true gourmand savvy not only in wine but in the basics of good eat .",wine,neutral
"but such remark depicts the worldly somelier / owner / janitor of lpf , who is a true gourmand savvy not only in wine but in the basics of good eat .",eat,positive
"the service was impeccible , the menu traditional but inventive and presentation for the mostpart excellent but the food itself came up short .",service,positive
"the service was impeccible , the menu traditional but inventive and presentation for the mostpart excellent but the food itself came up short .",menu,positive
"the service was impeccible , the menu traditional but inventive and presentation for the mostpart excellent but the food itself came up short .",food,negative
"when our entrees came , at least 3 or 4 waiters / waitresses came by at different times to wish us bon apetit .",entrees,neutral
"when our entrees came , at least 3 or 4 waiters / waitresses came by at different times to wish us bon apetit .",waitresses,negative
"our last experience : waiting for a table at the bar ( we always make reservations ) , the bartender ignored us until my husband intervened with one of the owners .",table,neutral
"our last experience : waiting for a table at the bar ( we always make reservations ) , the bartender ignored us until my husband intervened with one of the owners .",reservations,neutral
"our last experience : waiting for a table at the bar ( we always make reservations ) , the bartender ignored us until my husband intervened with one of the owners .",owners,negative
"the menu features classic french bistro fare , like steamed mussels with french fries and hangar steak with a green peppercorn sauce .",menu,neutral
"the menu features classic french bistro fare , like steamed mussels with french fries and hangar steak with a green peppercorn sauce .","french, bistro, fare",positive
"the menu features classic french bistro fare , like steamed mussels with french fries and hangar steak with a green peppercorn sauce .","steamed, mussels, with, french, fries",neutral
"the menu features classic french bistro fare , like steamed mussels with french fries and hangar steak with a green peppercorn sauce .","green, peppercorn, sauce",neutral
the scene a stone - faced facade welcomes diners to a restaurant that feels barely touched by the neighborhood 's rapid transformation into a nighttime hot spot .,scene,neutral
the scene a stone - faced facade welcomes diners to a restaurant that feels barely touched by the neighborhood 's rapid transformation into a nighttime hot spot .,spot,positive
get in before peak dinner time ( 7 - 8 pm ) to avoid harried service .,dinner,neutral
get in before peak dinner time ( 7 - 8 pm ) to avoid harried service .,service,negative
"my family and i enjoy spicy food so towards the end of the meal , we were tearing and had runny noses .",food,positive
"my family and i enjoy spicy food so towards the end of the meal , we were tearing and had runny noses .",meal,neutral
"dinner highlights include succulent salmon fillet , drenched in roasted tomato shallot sauce and grilled hangar steak with light fries and caramelized onions .",dinner,neutral
"dinner highlights include succulent salmon fillet , drenched in roasted tomato shallot sauce and grilled hangar steak with light fries and caramelized onions .","succulent, salmon, fillet",positive
"dinner highlights include succulent salmon fillet , drenched in roasted tomato shallot sauce and grilled hangar steak with light fries and caramelized onions .","caramelized, onions",positive
"the drinks , served with a little extra in the shaker , anticipate the aptly executed menu , which emphasizes comfort foods of a bygone era -- veggies , for example , include crisp brussels sprouts , shredded beets and bubbling - hot scalloped potatoes .",drinks,neutral
"the drinks , served with a little extra in the shaker , anticipate the aptly executed menu , which emphasizes comfort foods of a bygone era -- veggies , for example , include crisp brussels sprouts , shredded beets and bubbling - hot scalloped potatoes .",menu,neutral
"the drinks , served with a little extra in the shaker , anticipate the aptly executed menu , which emphasizes comfort foods of a bygone era -- veggies , for example , include crisp brussels sprouts , shredded beets and bubbling - hot scalloped potatoes .",foods,positive
"the drinks , served with a little extra in the shaker , anticipate the aptly executed menu , which emphasizes comfort foods of a bygone era -- veggies , for example , include crisp brussels sprouts , shredded beets and bubbling - hot scalloped potatoes .",veggies,neutral
"the drinks , served with a little extra in the shaker , anticipate the aptly executed menu , which emphasizes comfort foods of a bygone era -- veggies , for example , include crisp brussels sprouts , shredded beets and bubbling - hot scalloped potatoes .",sprouts,positive
"the drinks , served with a little extra in the shaker , anticipate the aptly executed menu , which emphasizes comfort foods of a bygone era -- veggies , for example , include crisp brussels sprouts , shredded beets and bubbling - hot scalloped potatoes .",beets,positive
"after sitting at the table with empty glasses for a 1/2 hour , we had to ask the busboys to get us drinks as our waiter was nowhere to be found .",table,neutral
"after sitting at the table with empty glasses for a 1/2 hour , we had to ask the busboys to get us drinks as our waiter was nowhere to be found .",drinks,neutral
"after sitting at the table with empty glasses for a 1/2 hour , we had to ask the busboys to get us drinks as our waiter was nowhere to be found .",waiter,negative
food is pretty good but the service is horrific .,food,positive
food is pretty good but the service is horrific .,service,negative
the hostess made sure we knew where the lounge was since all the seats at the bar were full and had the waiter come over to take our drink order .,hostess,negative
the hostess made sure we knew where the lounge was since all the seats at the bar were full and had the waiter come over to take our drink order .,lounge,neutral
the hostess made sure we knew where the lounge was since all the seats at the bar were full and had the waiter come over to take our drink order .,seats,neutral
the hostess made sure we knew where the lounge was since all the seats at the bar were full and had the waiter come over to take our drink order .,bar,neutral
the hostess made sure we knew where the lounge was since all the seats at the bar were full and had the waiter come over to take our drink order .,order,neutral
"last time , the waiter told my roommate he 'd have to charge her $ 5 for mushrooms as one of her omelette choices ( never heard that at my other favorite brunch places .",waiter,negative
"last time , the waiter told my roommate he 'd have to charge her $ 5 for mushrooms as one of her omelette choices ( never heard that at my other favorite brunch places .",places,positive
summary - good food which they rush you through and do everything to up your bill .,food,positive
summary - good food which they rush you through and do everything to up your bill .,bill,neutral
"a huge coca - cola sign dominates the bar , and cute waiters whisk plates of ' cue across the dining room and to the sidewalk patio .",bar,neutral
"a huge coca - cola sign dominates the bar , and cute waiters whisk plates of ' cue across the dining room and to the sidewalk patio .",waiters,positive
"a huge coca - cola sign dominates the bar , and cute waiters whisk plates of ' cue across the dining room and to the sidewalk patio .",plates,neutral
"a huge coca - cola sign dominates the bar , and cute waiters whisk plates of ' cue across the dining room and to the sidewalk patio .","dining, room",neutral
